Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
VCP	gene	VCP	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Frontotemporal dementia and/or Amyotrophic lateral sclerosis 6 (MONDO:0013501;MIM 613954);Inclusion body myopathy with early-onset Paget Disease and FTD [IBMPFD] (MONDO:0000507MIM 167320)				21145000;33004675		False	3	100;0;0	0.430	True		ENSG00000165280	ENSG00000165280	HGNC:12666													
VHL	gene	VHL	Expert Review Green;Melbourne Genomics Health Alliance;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	von Hippel-Lindau syndrome , MIM#193300						False	3	100;0;0	0.430	True		ENSG00000134086	ENSG00000134086	HGNC:12687													
VPS13A	gene	VPS13A	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			BIALLELIC, autosomal or pseudoautosomal	Choreoacanthocytosis MIM#200150				26813249;15824261;30140251;31192303		False	3	100;0;0	0.430	True		ENSG00000197969	ENSG00000197969	HGNC:1908													
WT1	gene	WT1	Expert Review Green;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Denys-Drash syndrome, MIM# 194080;Frasier syndrome, MIM#136680;Wilms tumor, type 1, MIM#194070;Nephrotic syndrome, type 4, MIM#256370						False	3	100;0;0	0.430	True		ENSG00000184937	ENSG00000184937	HGNC:12796													
XK	gene	XK	Expert Review Green;Melbourne Genomics Health Alliance Complex Neurology Flagship;Victorian Clinical Genetics Services	Incidentalome			X-LINKED: hemizygous mutation in males, biallelic mutations in females	McLeod Syndrome with or without chronic granulomatous disease (MIM#300842)				20301528;17133513		False	3	100;0;0	0.430	True		ENSG00000047597	ENSG00000047597	HGNC:12811													
ANG	gene	ANG	Expert Review Amber;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Amyotrophic Lateral Sclerosis (MONDO: 0012753;MIM#611895)				17886298;16501576;18087731;20301623;19153377		False	2	50;0;50	0.430	True		ENSG00000214274	ENSG00000214274	HGNC:483													
CCNF	gene	CCNF	Expert list;Expert Review Amber	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Frontotemporal dementia and/or amyotrophic lateral sclerosis 5, MIM# 619141				27080313;31577344		False	2	50;50;0	0.430	True		ENSG00000162063	ENSG00000162063	HGNC:1591													
DNAJC7	gene	DNAJC7	Expert Review Amber;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	amyotrophic lateral sclerosis				31768050;40802071		False	2	0;100;0	0.430	True		ENSG00000168259	ENSG00000168259	HGNC:12392													
GLT8D1	gene	GLT8D1	ClinGen;Expert Review Amber	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	amyotrophic lateral sclerosis MONDO:0004976				30811981;35525134;34746377;33714647;31653410;35873773;33581933		False	2	0;100;0	0.430	True		ENSG00000016864	ENSG00000016864	HGNC:24870													
LGALSL	gene	LGALSL	ClinGen;Expert Review Amber	Incidentalome			Unknown	"Amyotrophic lateral sclerosis	MONDO:0004976"				30940688		False	2	0;100;0	0.430	True		ENSG00000119862	ENSG00000119862	HGNC:25012													
PCDHA9	gene	PCDHA9	Expert Review Amber;Literature	Incidentalome			BIALLELIC, autosomal or pseudoautosomal	amyotrophic lateral sclerosis MONDO:0004976				38467605		False	2	0;100;0	0.430	True		ENSG00000204961	ENSG00000204961	HGNC:8675													
RBM12	gene	RBM12	Expert Review Amber;Victorian Clinical Genetics Services	Incidentalome			Unknown	Schizophrenia 19 (MIM#617629)						False	2	0;100;0	0.430	True		ENSG00000244462	ENSG00000244462	HGNC:9898													
SORL1	gene	SORL1	Expert Review Amber;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Alzheimer disease, MONDO:0004975, SORL1-related				27026413;39226352;40182695		False	2	0;50;50	0.430	True		ENSG00000137642	ENSG00000137642	HGNC:11185													
SS18L1	gene	SS18L1	Expert Review;Expert Review Amber	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	amyotrophic lateral sclerosis (MONDO:0004976)				25888396;24360741;23708140;30976389		False	2	0;100;0	0.430	True		ENSG00000184402	ENSG00000184402	HGNC:15592													
TAF15	gene	TAF15	ClinGen;Expert Review Amber	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	amyotrophic lateral sclerosis MONDO:0004976;frontotemporal dementia MONDO:0017276				28889094;21438137;22065782;27810362;28889094		False	2	0;100;0	0.430	True		ENSG00000172660	ENSG00000270647	HGNC:11547													
TUBA4A	gene	TUBA4A	Expert Review Amber;Royal Melbourne Hospital;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia, MIM# 616208				28069311;25374358;26675813		False	2	0;100;0	0.430	True		ENSG00000127824	ENSG00000127824	HGNC:12407													
UBQLN4	gene	UBQLN4	Expert Review;Expert Review Amber	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	amyotrophic lateral sclerosis MONDO:0004976				28463112;30804504		False	2	0;100;0	0.430	True		ENSG00000160803	ENSG00000160803	HGNC:1237													
UQCRC1	gene	UQCRC1	Expert Review Amber;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Parkinsonism with polyneuropathy, MIM# 619279				33141179;33248804		False	2	0;100;0	0.430	True		ENSG00000010256	ENSG00000010256	HGNC:12585													
WNK2	gene	WNK2	Expert Review Amber;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Serrated polyposis syndrome				PMID: 36270769		False	2	0;100;0	0.430	True		ENSG00000165238	ENSG00000165238	HGNC:14542													
A2M	gene	A2M	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Alzheimer disease, MONDO:0004975						False	1	0;0;100	0.430	True		ENSG00000175899	ENSG00000175899	HGNC:7													
AKAP9	gene	AKAP9	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Long QT syndrome 11, MIM# 611820				31983240		False	1	0;0;100	0.430	True		ENSG00000127914	ENSG00000127914	HGNC:379													
ALG10B	gene	ALG10B	ClinGen	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	long QT syndrome MONDO:0002442				37071726		False	1	0;0;100	0.430	False		ENSG00000175548	ENSG00000175548	HGNC:31088													
ANK2	gene	ANK2	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Long QT syndrome 4, MIM# 600919				31983240		False	1	0;0;100	0.430	True		ENSG00000145362	ENSG00000145362	HGNC:493													
CACNB2	gene	CACNB2	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Brugada syndrome 4, MIM# 611876				29959160		False	1	0;0;100	0.430	True		ENSG00000165995	ENSG00000165995	HGNC:1402													
CALHM1	gene	CALHM1	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			Unknown							False	1	0;0;100	0.430	True		ENSG00000185933	ENSG00000185933	HGNC:23494													
CLU	gene	CLU	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			Unknown	Alzheimer's Disease (MIM#104300)						False	1	0;0;100	0.430	True		ENSG00000120885	ENSG00000120885	HGNC:2095													
DLST	gene	DLST	Expert list;Expert Review;Expert Review Red;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Paragangliomas 7, MONDO:0032771;Pheochromocytoma, MONDO:0008233;Hereditary pheochromocytoma-paraganglioma, MONDO:0017366;Pheochromocytoma/paraganglioma syndrome 7, MIM#618475				PMID: 30929736, 33180916		False	1	0;0;100	0.430	False		ENSG00000119689	ENSG00000119689	HGNC:2911													
GPD1L	gene	GPD1L	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Brugada syndrome 2, MIM# 611777				17967977;19666841		False	1	0;0;100	0.430	True		ENSG00000152642	ENSG00000152642	HGNC:28956													
KCNE2	gene	KCNE2	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Long QT syndrome 6, MIM# 613693				31983240;28794082;31983240		False	1	0;67;33	0.430	True		ENSG00000159197	ENSG00000159197	HGNC:6242													
NR4A2	gene	NR4A2	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			Unknown							False	1	0;0;100	0.430	True		ENSG00000153234	ENSG00000153234	HGNC:7981													
PBRM1	gene	PBRM1	Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	renal cell carcinoma MONDO:0005086				25911086		False	1	0;0;100	0.430	False		ENSG00000163939	ENSG00000163939	HGNC:30064													
PCP4	gene	PCP4	Expert Review Red;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Familial amyotrophic lateral sclerosis, MONDO:0005144, PCP4-related				39852553		False	1	0;0;100	0.430	True		ENSG00000183036	ENSG00000183036	HGNC:8742													
PLA2G2A	gene	PLA2G2A	Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	colorectal cancer MONDO:0005575				9272153;8912789		False	1	0;0;100	0.430	False		ENSG00000188257	ENSG00000188257	HGNC:9031													
RABL3	gene	RABL3	Expert Review Red;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	pancreatic carcinoma				31406347;33353859;33724601		False	1	100;0;0	0.430	True		ENSG00000144840	ENSG00000144840	HGNC:18072													
RNASEL	gene	RNASEL	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			Unknown							False	1	0;0;0	0.430	True		ENSG00000135828	ENSG00000135828	HGNC:10050													
SCN3B	gene	SCN3B	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			Unknown							False	1	0;0;0	0.430	False		ENSG00000166257	ENSG00000166257	HGNC:20665													
SCN4B	gene	SCN4B	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Long QT syndrome 10, MIM#	611819"				31983240		False	1	0;0;100	0.430	True		ENSG00000177098	ENSG00000177098	HGNC:10592													
SLC25A11	gene	SLC25A11	Expert list;Expert Review;Expert Review Red;Literature	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Paragangliomas 6, MONDO:0032767;Pheochromocytoma, MONDO:0008233;Hereditary pheochromocytoma-paraganglioma, MONDO:0017366;Pheochromocytoma/paraganglioma syndrome 6, MIM#618464				PMID: 29431636		False	1	0;0;100	0.430	False		ENSG00000108528	ENSG00000108528	HGNC:10981													
SNCB	gene	SNCB	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dementia, Lewy body, MIM#127750				15365127;20697047		False	1	0;50;50	0.430	True		ENSG00000074317	ENSG00000074317	HGNC:11140													
SNTA1	gene	SNTA1	Expert Review Red;Victorian Clinical Genetics Services	Incidentalome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Long QT syndrome 12, MIM# 612955				31983240		False	1	0;0;100	0.430	True		ENSG00000101400	ENSG00000101400	HGNC:11167													
