Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACD	gene	ACD	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	telomere syndrome MONDO:0100137;dyskeratosis congenita, autosomal dominant 6 MONDO:0014690;Hoyeraal-Hreidarsson syndrome MONDO:0018045				27807141;31515401;30995915;27528712;25205116;24316971;30064976;33446513;25233904		False	3	50;0;50	1.4452	True		ENSG00000102977	ENSG00000102977	HGNC:25070													
ACE	gene	ACE	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Renal tubular dysgenesis, MIM# 267430				16116425;22095942		False	3	100;0;0	1.4452	True		ENSG00000159640	ENSG00000159640	HGNC:2707													
ACER3	gene	ACER3	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy				32816236;26792856		False	3	100;0;0	1.4452	True		ENSG00000078124	ENSG00000078124	HGNC:16066													
ACO2	gene	ACO2	Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Infantile cerebellar-retinal degeneration, MIM#614559;Optic atrophy 9, MIM# 616289				22405087;25351951;30689204;32519519;25351951;34056600		False	3	100;0;0	1.4452	True		ENSG00000100412	ENSG00000100412	HGNC:118													
ACOX1	gene	ACOX1	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Peroxisomal acyl-CoA oxidase deficiency, MIM# 264470;Mitchell syndrome, MIM# 618960				32169171;17458872		False	3	100;0;0	1.4452	True		ENSG00000161533	ENSG00000161533	HGNC:119													
ACOX2	gene	ACOX2	Expert Review;Expert Review Green	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Bile acid synthesis defect, congenital, 6, 617308				27647924;27884763;29287774;35395098		False	3	100;0;0	1.4452	True		ENSG00000168306	ENSG00000168306	HGNC:120													
ACP4	gene	ACP4	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Amelogenesis imperfecta, type IJ MIM#617297				28513613;27843125;33552707		False	3	100;0;0	1.4452	True		ENSG00000142513	ENSG00000142513	HGNC:14376													
ACP5	gene	ACP5	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Spondyloenchondrodysplasia with immune dysregulation, OMIM# 607944				26854080;26951490;21217755;26789720;2363422;21217752		False	3	100;0;0	1.4452	True		ENSG00000102575	ENSG00000102575	HGNC:124													
ACSL4	gene	ACSL4	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Mental retardation, X-linked 63, MIM# 300387 XLD				11889465;12525535		False	3	100;0;0	1.4452	True		ENSG00000068366	ENSG00000068366	HGNC:3571													
ACTA1	gene	ACTA1	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Congenital myopathy 2C, severe infantile, autosomal dominant, MIM# 620278;Myopathy, actin, congenital, with cores, MIM#161800;Myopathy, actin, congenital, with excess of thin myofilaments, MIM#161800;Myopathy, congenital, with fiber-type disproportion 1, MIM#255310;Nemaline myopathy 3, MIM#161800;?Myopathy, scapulohumeroperoneal				19562689;15236405		False	3	100;0;0	1.4452	True		ENSG00000143632	ENSG00000143632	HGNC:129													
